,Survived,Pclass,Name,Sex,Siblings/Spouses Aboard,Parents/Children Aboard,Fare
0,0,3,Mr. Owen Harris Braund,male,1,0,7.25
1,1,1,Mrs. John Bradley (Florence Briggs Thayer) Cumings,female,1,0,71.2833
2,1,3,Miss. Laina Heikkinen,female,0,0,7.925
3,1,1,Mrs. Jacques Heath (Lily May Peel) Futrelle,female,1,0,53.1
4,0,3,Mr. William Henry Allen,male,0,0,8.05
5,0,3,Mr. James Moran,male,0,0,8.4583
6,0,1,Mr. Timothy J McCarthy,male,0,0,51.8625
7,0,3,Master. Gosta Leonard Palsson,male,3,1,21.075
8,1,3,Mrs. Oscar W (Elisabeth Vilhelmina Berg) Johnson,female,0,2,11.1333
9,1,2,Mrs. Nicholas (Adele Achem) Nasser,female,1,0,30.0708
10,1,3,Miss. Marguerite Rut Sandstrom,female,1,1,16.7
11,1,1,Miss. Elizabeth Bonnell,female,0,0,26.55
12,0,3,Mr. William Henry Saundercock,male,0,0,8.05
13,0,3,Mr. Anders Johan Andersson,male,1,5,31.275
14,0,3,Miss. Hulda Amanda Adolfina Vestrom,female,0,0,7.8542
15,1,2,Mrs. (Mary D Kingcome) Hewlett,female,0,0,16.0
16,0,3,Master. Eugene Rice,male,4,1,29.125
17,1,2,Mr. Charles Eugene Williams,male,0,0,13.0
18,0,3,Mrs. Julius (Emelia Maria Vandemoortele) Vander Planke,female,1,0,18.0
19,1,3,Mrs. Fatima Masselmani,female,0,0,7.225
20,0,2,Mr. Joseph J Fynney,male,0,0,26.0
21,1,2,Mr. Lawrence Beesley,male,0,0,13.0
22,1,3,Miss. Anna McGowan,female,0,0,8.0292
23,1,1,Mr. William Thompson Sloper,male,0,0,35.5
24,0,3,Miss. Torborg Danira Palsson,female,3,1,21.075
25,1,3,Mrs. Carl Oscar (Selma Augusta Emilia Johansson) Asplund,female,1,5,31.3875
26,0,3,Mr. Farred Chehab Emir,male,0,0,7.225
27,0,1,Mr. Charles Alexander Fortune,male,3,2,263.0
28,1,3,Miss. Ellen O'Dwyer,female,0,0,7.8792
29,0,3,Mr. Lalio Todoroff,male,0,0,7.8958
30,0,1,Don. Manuel E Uruchurtu,male,0,0,27.7208
31,1,1,Mrs. William Augustus (Marie Eugenie) Spencer,female,1,0,146.5208
32,1,3,Miss. Mary Agatha Glynn,female,0,0,7.75
33,0,2,Mr. Edward H Wheadon,male,0,0,10.5
34,0,1,Mr. Edgar Joseph Meyer,male,1,0,82.1708
35,0,1,Mr. Alexander Oskar Holverson,male,1,0,52.0
36,1,3,Mr. Hanna Mamee,male,0,0,7.2292
37,0,3,Mr. Ernest Charles Cann,male,0,0,8.05
38,0,3,Miss. Augusta Maria Vander Planke,female,2,0,18.0
39,1,3,Miss. Jamila Nicola-Yarred,female,1,0,11.2417
40,0,3,Mrs. Johan (Johanna Persdotter Larsson) Ahlin,female,1,0,9.475
41,0,2,Mrs. William John Robert (Dorothy Ann Wonnacott) Turpin,female,1,0,21.0
42,1,2,Miss. Simonne Marie Anne Andree Laroche,female,1,2,41.5792
43,1,3,Miss. Margaret Delia Devaney,female,0,0,7.8792
44,0,3,Mr. William John Rogers,male,0,0,8.05
45,0,3,Mr. Denis Lennon,male,1,0,15.5
46,1,3,Miss. Bridget O'Driscoll,female,0,0,7.75
47,0,3,Mr. Youssef Samaan,male,2,0,21.6792
48,0,3,Mrs. Josef (Josefine Franchi) Arnold-Franchi,female,1,0,17.8
49,0,3,Master. Juha Niilo Panula,male,4,1,39.6875
50,0,3,Mr. Richard Cater Nosworthy,male,0,0,7.8
51,1,1,Mrs. Henry Sleeper (Myna Haxtun) Harper,female,1,0,76.7292
52,1,2,Mrs. Lizzie (Elizabeth Anne Wilkinson) Faunthorpe,female,1,0,26.0
53,0,1,Mr. Engelhart Cornelius Ostby,male,0,1,61.9792
54,1,1,Mr. Hugh Woolner,male,0,0,35.5
55,1,2,Miss. Emily Rugg,female,0,0,10.5
56,0,3,Mr. Mansouer Novel,male,0,0,7.2292
57,1,2,Miss. Constance Mirium West,female,1,2,27.75
58,0,3,Master. William Frederick Goodwin,male,5,2,46.9
59,0,3,Mr. Orsen Sirayanian,male,0,0,7.2292
60,1,1,Miss. Amelie Icard,female,0,0,80.0
61,0,1,Mr. Henry Birkhardt Harris,male,1,0,83.475
62,0,3,Master. Harald Skoog,male,3,2,27.9
63,0,1,Mr. Albert A Stewart,male,0,0,27.7208
64,1,3,Master. Gerios Moubarek,male,1,1,15.2458
65,1,2,Mrs. (Elizabeth Ramell) Nye,female,0,0,10.5
66,0,3,Mr. Ernest James Crease,male,0,0,8.1583
67,1,3,Miss. Erna Alexandra Andersson,female,4,2,7.925
68,0,3,Mr. Vincenz Kink,male,2,0,8.6625
69,0,2,Mr. Stephen Curnow Jenkin,male,0,0,10.5
70,0,3,Miss. Lillian Amy Goodwin,female,5,2,46.9
71,0,2,Mr. Ambrose Jr Hood,male,0,0,73.5
72,0,3,Mr. Apostolos Chronopoulos,male,1,0,14.4542
73,1,3,Mr. Lee Bing,male,0,0,56.4958
74,0,3,Mr. Sigurd Hansen Moen,male,0,0,7.65
75,0,3,Mr. Ivan Staneff,male,0,0,7.8958
76,0,3,Mr. Rahamin Haim Moutal,male,0,0,8.05
77,1,2,Master. Alden Gates Caldwell,male,0,2,29.0
78,1,3,Miss. Elizabeth Dowdell,female,0,0,12.475
79,0,3,Mr. Achille Waelens,male,0,0,9.0
80,1,3,Mr. Jan Baptist Sheerlinck,male,0,0,9.5
81,1,3,Miss. Brigdet Delia McDermott,female,0,0,7.7875
82,0,1,Mr. Francisco M Carrau,male,0,0,47.1
83,1,2,Miss. Bertha Ilett,female,0,0,10.5
84,1,3,Mrs. Karl Alfred (Maria Mathilda Gustafsson) Backstrom,female,3,0,15.85
85,0,3,Mr. William Neal Ford,male,1,3,34.375
86,0,3,Mr. Selman Francis Slocovski,male,0,0,8.05
87,1,1,Miss. Mabel Helen Fortune,female,3,2,263.0
